condition,section,kind,length_bytes,instructions,xor,mul,set
cse_dce/rlp,11,keccak256,83,184288,147232,37056,0
cse_dce/rlp,12,keccak256,83,184288,147232,37056,0
cse_dce/rlp,13,keccak256,103,184768,147712,37056,0
cse_dce/rlp,14,keccak256,276,570852,456996,113856,0
cse_dce/rlp,15,keccak256,56,183640,146584,37056,0
cse_dce/rlp,16,keccak256,52,183544,146488,37056,0
cse_dce/rlp,17,keccak256,106,184635,147579,37056,0
cse_dce/ssz,0,relation,,104507,35332,69046,129
cse_dce/ssz,1,sha256,64,196530,127505,69025,0
cse_dce/ssz,2,sha256,64,196530,127505,69025,0
cse_dce/ssz,3,sha256,64,196530,127505,69025,0
cse_dce/ssz,4,sha256,64,196530,127505,69025,0
cse_dce/ssz,5,sha256,64,196530,127505,69025,0
cse_dce/ssz,6,keccak256,20,181877,145141,36736,0
cse_dce/ssz,7,keccak256,32,182998,145942,37056,0
cse_dce/ssz,8,keccak256,532,764986,612730,152256,0
cse_dce/ssz,9,keccak256,532,764986,612730,152256,0
cse_dce/ssz,10,keccak256,532,764986,612730,152256,0
cse_dce/ssz,11,keccak256,532,764986,612730,152256,0
cse_dce/ssz,12,keccak256,532,764986,612730,152256,0
cse_dce/ssz,13,keccak256,532,764986,612730,152256,0
cse_dce/ssz,14,keccak256,500,764730,612474,152256,0
cse_dce/ssz,15,keccak256,83,184288,147232,37056,0
cse_dce/ssz,16,keccak256,83,184288,147232,37056,0
cse_dce/ssz,17,keccak256,103,184768,147712,37056,0
cse_dce/ssz,18,keccak256,276,570852,456996,113856,0
cse_dce/ssz,19,keccak256,56,183640,146584,37056,0
cse_dce/ssz,20,keccak256,52,183544,146488,37056,0
cse_dce/ssz,21,keccak256,106,184635,147579,37056,0
